' '	83019	0.15670762783849596
'e'	46680	0.08811370972308738
'a'	42412	0.0800573833927931
'i'	39559	0.07467202748362498
'o'	37610	0.07099307246540952
'n'	26487	0.04999716858259245
'r'	25922	0.04893066802574702
'l'	23498	0.0443550974951394
't'	22761	0.04296392774222776
's'	22631	0.04271853823357306
'c'	20821	0.03930196122845763
'\n'	19053	0.03596466391075372
'd'	15006	0.028325499745172435
'u'	13451	0.025390263699341224
'm'	12086	0.02281367385846688
'p'	11263	0.02126016950752213
','	8513	0.016069237593672726
'v'	8168	0.015418011589935256
'’'	7623	0.014389263265190555
'g'	7320	0.013817316948864601
'h'	7111	0.013422806123412047
'f'	5127	0.00967778469902033
'q'	3353	0.006329161711686204
'.'	3275	0.006181928006493384
'b'	2981	0.005626970194612757
'z'	1855	0.003501519527342054
';'	1628	0.0030730316929988484
'ì'	1383	0.0026105668497649922
'ù'	1080	0.0020386205334390396
'«'	1062	0.002004643524548389
'»'	1062	0.002004643524548389
':'	988	0.001864960265775714
'ò'	938	0.0017705796855239065
'è'	927	0.001749815957868509
'é'	903	0.0017045132793476413
'à'	855	0.0016139079223059063
'ï'	428	0.0008078977669554713
'?'	278	0.0005247560262000491
'!'	232	0.0004379258923683863
'‘'	109	0.00020574966494894012
'ë'	85	0.00016044698642807257
'ü'	55	0.00010381863827698812
'“'	51	9.626819185684353e-05
'”'	51	9.626819185684353e-05
'ó'	30	5.662834815108443e-05
'—'	18	3.397700889065066e-05
'ä'	8	1.5100892840289182e-05
'x'	3	5.662834815108443e-06
'('	3	5.662834815108443e-06
')'	3	5.662834815108443e-06
'j'	2	3.7752232100722955e-06
'ö'	1	1.8876116050361478e-06
'y'	1	1.8876116050361478e-06
'-'	1	1.8876116050361478e-06
